	Iozone: Performance Test of File I/O
	        Version $Revision: 3.482 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Oct 24 23:27:07 2018

	Auto Mode
	Command line used: ./iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            8192     128  1817994  3280539  5237920  9133841  9916786  4591825  4678100  10450659   9393538  3901055  2834539  4796296  8922740
            8192     256  2183399  3296592  5406890  9536939 10331252  4919916  4765695  10476150   9660279  4170981  3320806  5158495  9040119
            8192     512  2576889  3502234  5400092 10076743 11344319  5274909  5757516   9848567  11055948  3484475  3674914  5274909  9764602
            8192    1024  2307601  3637950  6163396 10556617 11993741  5482815  5633847   9185117  10748147  3749096  3457825  5378116 10343693
            8192    2048  1898873  3550731  6281710 11207409 12298542  5584401  6420214   7692239   9141131  4546258  3770075  5357152 10214543
            8192    4096  1679705  3642578  8094537 12116393 12563868  5614514  5385702   5653313   7440706  4266803  5382328  5312425 10278712
            8192    8192  3039661  3634487  9742452 12623876 12563868  5626466  4049561   5539386   5088216  5421393  3655366  5224380  9695717
           16384       4   646973   747066   974360   693178   678316   414352  1087560    675317    678316   417999   778005  1046375   703568
           16384       8   706693  1242806  1784559  1930007   905301   721950  1673725   2533922   1107988   779558  1221857  1766621  1932069
           16384      16  1069866   306288  2719860  3097173  3330108   966616  2776902   2687734   3351874  2279343  1816783  2700090  3108943
           16384      32  1972554  2349319  3997920  4840147  4993855  3200600  3782069   6831772   5172008  3420444  2290511  3758694  4855880
           16384      64  2757292   321631  4698830  6519994  8131707  3029050  4584414   5881097   7133159  3560261  2706790  4571300  6372469
           16384     128  2286015  3231454  4793220  7628034  9297968  8752060  4655852  10751183   8934115  6327873  2765170  4686333  7236824
           16384     256  2320678  3389904  4882098  7623802 10272267  9660015  4772581  10442410   8715430  6455075  3075549  4828923  7543462
           16384     512  2646333  3548678  5242637  7831452 11039617 10722665  5005860  11306626   5307422  5391113  3185172  5041113  7980609
           16384    1024  2574456  3782069  5433741  8099122 11353326 11192451  5137595  11941233  11034300  3397781  3149552  5163459  8000120
           16384    2048  2754088  3703394  5678917  8875268 11968269 11553752  5183322  12291515  10800184  3787280  3369129  5293930  8200605
           16384    4096  2452707  3687694  6229778  9835607 12300316 12126668  5229472  12431601  10095701  4951396  3872216  5263115  8175239
           16384    8192  2435927  3568025  7080244  9923668 10856490 10026469  5115033    148479   6750568  5069376  5329650  5152232  7877236
           16384   16384  2631941  3089514  6282747  6954141  5280100  2029949  4612724   3097731   4448494  3976866  2681860  4398382  5529493
           32768      64  2255212  2961420  4469297  4883453  4934828  1682572  4389505   6962880   4634157  1647538  2682845  4639476  5165944
           32768     128  1857915  3122561  4804078  5499800  6194346  3606772  4652512  10811063   5297154  1839563  2840715  4771058  5396576
           32768     256  2417962  3357344  4882065  5416141  5773095  3960342  4772549  10402738   5932837  1712361  2792804  4843696  5436924
           32768     512  2457479  3441669  5054611  5387691  5938476  4338377  3526082    114173   3553615  2350476  2152231  3476052  3785591
           32768    1024  2095144  2657786  3711776  3898667  4272827  2913520  3664569     97023   3658813  2320514  2420475  3662128  3897782
           32768    2048  2091127  3387214  5146407  5399120  6246428  2877892  4939439     65753  11291582  3132097  3060400  5252817  5753760
           32768    4096  2599819  3361121  5721662  6050366  5906321  3313234  5291240     92341  10543188  3360463  3237681  5301445  5821265
           32768    8192  2483949  3100373  6044512  6370049  6295642  3312276  5296134    102784   8906790  4088765  3907978  5395728  5643891
           32768   16384  2043160  3165060  5829413  5710726  3064700  1436176  4808953    460866   4901740  4048894  4533424  4764112  5172554
           65536      64   925624  2832163  4535729  2840122  2755342  1492273  4552707   8192885   2798058  1592343  1923220  4558067  2875387
           65536     128  1559238  3062576  4342407  2982719  2866601  1933148  4729179  10884613   2864839  1668304  2816435  4868645  2897758
           65536     256  1733985  3287470  4599404  2949403  3039581  1770096  4824128  10390864   3027062  1694613  2726806  4776680  3021207
           65536     512  1763328   671538  5144943  3140679  3905358  1826433  5021536  11303100   4953575  1741918  3058998  5182385  3132697
           65536    1024  1715373  3410150  4802971  3183822  3059849  2246160  5177407     79519   5113169  1683085  3005417  5116024  3169943
           65536    2048  1936062  3459289  5387670  3926445  3159559  2024453  5041614     65380   5146099  1646095  2982557  5261747  3198270
           65536    4096  1906110  3497494  5533770  3100541  3116607  2089264  5288981     99802  11987799  2740699  3074084  5236986  3063429
           65536    8192  1863455  3514756  5608058  3274312  3104638  1926631  5289388    100022  10452106  2373282  3275834  5271535  3194850
           65536   16384  1768137  2346339  5153431  2389561  2405432  1661246  4936849    233610   5516445  1996095  3175033  4943508  3613020
          131072      64  1370586  1799971  3442303  2407958  2312047  1428810  3344261   5910030   2355506  1431854  1589694  3613087  2339408
          131072     128  1583417  1962657  3694774  2479272  2436916  1518776  3621178   6305420   2375003  1573113  1807088  3725950  2495557
          131072     256  1718637  2256706  3671995  2511334  2615010  1688357  3681388   6270468   2601411  1512013  1867974  3695196  2518721
          131072     512  2620183  2319979  3803385  2560245  2476323  1773424  3792470   6357189   3967070  1557285  1931992  3763290  3065083
          131072    1024  1917096  2337896  3809895  2629117  3093141  1850432  3895722   5944025   4062491  1670625  1888346  3909213  2612922
          131072    2048  1933813  2442319  3895750  3160046  2955536  1872268  5143297   6625814   5147150  1494105  2030328  3912468  3134051
          131072    4096  1868768  2577470  4043814  3171824  2949352  1894052  3940822   6691787   5266223  1661793  1868501  3945829  3141626
          131072    8192  1985668  2370456  4042565  2681725  3145869  1963358  3880872     94683  11405531  1772366  2261496  3913053  3118300
          131072   16384  1791308  1825316  3735317  2583914  2279396  1598848  3934927    407607   5132829  1477898  1779537  3636052  2466126
          262144      64  1369877  1585897  2884443  2492145  2096696  1353470  2850781   5300235   2196410  1379698  1457059  2930883  2450199
          262144     128   913020  1799622  2950538  2439798  2217688  1500433  2913587   6381016   2326985  1462245  1565177  2950680  2456582
          262144     256  1487012  1884504  2988413  2453271  2407462  1581676  2899595   6187605   2418168  1489318  1640100  2976134  2500016
          262144     512   921332  1970638  2887715  2461818  2660981  3132995  3211839   6506262   3204528  1590950  1700764  3072190  2794796
          262144    1024  1157935  2057936  3439253  2816207  2728311  1863099  3444101   6738409   3078184  1551459  1748676  3223922  2805328
