	Iozone: Performance Test of File I/O
	        Version $Revision: 3.482 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Thu Oct 25 01:16:31 2018

	Auto Mode
	Command line used: ./iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            8192     128  1183805  3897073  6533753  8257953  7793434  5645881  5728718    961520   7640921  4173008  3842595  7313997  8142493
            8192     256  1225435  4788276  6681127  8307870  8086916  6282859  5610847   7593638   9040119  5162371  4282224  6758664  8498983
            8192     512  1063215  4976206  6491781  9204802  9071145  6989645  6976871    810451   9279379  5149219  4192356  6395120  9112041
            8192    1024  1268083  5333039  6537482  9362822  9329772  7148143  7173514    569871   9319649  4586921  4194403  7013901  9383277
            8192    2048  1206841  6032463  8668371  9671156  9638600  8167655  8198838    417064   7915520  4013610  4345590  6330318  9492149
            8192    4096  1340773  5449769  7585256  9627797  9558162  7359427  7578564    580128   9131414  2893742  4218607  5673850  9362822
            8192    8192  1085622  4680649  8299843  8642207  8077411  6220301  5983092   6022946   6948652  6277120  4790278  6522590  7620585
           16384       4   673187   626900  1155360  1202150  1034280   608234  1040119    585625   1037293   630784   598482  1171631  1220490
           16384       8   822526  1111897  2071310  2170627  1885162  1120417  1729583    906651   1836201  1098284  1023238  1985951  2138075
           16384      16  1009796  1782384  3102346  3465289  3130898  1919388  2949864   1075981   3019467  1825518  1610381  3121937  3422658
           16384      32  1239801  2681023  4710748  5170063  4837421  3108943  4055489   4198710   4680906  2771750  2489222  4344712  4960332
           16384      64  1222140  3081341  5777267  6548575  6499029  4229201  5383933   6270136   6154457  3493297  3030787  5550036  6524947
           16384     128  1480965  3731346  5659741  7204956  7477794  4937877  5685024   7347471   7201936  4046414  3469838  5764667  7089740
           16384     256  1235321  4083686  6253589  7554242  7888992  5495884  6057351    731098   6701197  4314976  3288043  5948808  7077327
           16384     512  1220772  4239115  6402750  7861915  8423769  5764667  6131941   8279648   7670606  4724349  3881621  6041375  7743209
           16384    1024  1215439  4523456  6405137  8055449  8542092  5816386  6758535    478255   9281642  3503806  3365664  6243929  7824319
           16384    2048  1171212  3670950  6547951  8155834  8775530  5718614  6954141   9498455   9615411  3615899  3145228  6423097  7915343
           16384    4096  1207367  4196659  7320858  7731883  7839493  5322632  6556697    446587   9443632  3468962  3056670  6473317  7444580
           16384    8192  1262649  4162595  6745267  7220855  6723489  4377369  5584313   1304871   6993063  3064030  3502377  5944691  6478199
           16384   16384  1244223  3992114  4548607  4564923  4553429  4006778  4144769   4062441   4044271  4061481  4006778  4377090  4516025
           32768      64  1154659  3253701  5378835  5817077  5383470  3062992  5231224   6304016   5343908  2809359  2713674  5385790  5810928
           32768     128  1190011  3444947  5908352  6380103  6279821  3490796  5352441   7327417   6004636  3108648  2870859  5267312  6052498
           32768     256  1108255  3799195  6247280  6436274  6479666  3905979  5456783    841089   6187374  3429731  3077395  5621499  6322286
           32768     512  1589830  4009327  6136268  6954073  6989793  4294590  6084922   8443334   6815445  3617975  3350877  5876521  6432659
           32768    1024  1202442  4237913  6362677  6706692  6856586  4149876  5991547   8747495   6895459  3171194  3012835  6440195  6616929
           32768    2048  1227398  4123357  6208617  6949853  7068157  4239613  6308646    329801   9569754  3181987  2888355  6703748  7207906
           32768    4096  1351139  4335503  6569486  7335630  7407189  4554305  6188489    407232   9569754  3078774  3094858  6391378  6795227
           32768    8192  1211387  3876017  5828672  5972021  6282117  3980068  5443168    853224   7189054  3070451  2855648  5650620  6278673
           32768   16384  1194126  3785591  4318339  4389505  4344136  3956010  4158414   1687261   4217755  2804029  3365648  4194584  4360953
           65536      64  1626075  3102711  5522985  5831120  5326904  3136593  5357324   6267193   5312594  2784848  2558007  5415693  5798157
           65536     128  1271259  3577471  5608058  6080454  5773071  3400195  5410364   1377324   5693788  2971498  2896109  5496590  5870348
           65536     256  1404998  3813151  5937810  6344877  6162379  3835658  5873358    831442   6306302  3399185  3223285  5950793  6341803
           65536     512  1295922  4101381  6277355  6650678  6597839  3968736  5929868   8287241   6619766  3349644  3218718  6180391  6633825
           65536    1024  1893114  4349003  6460600  6888340  6823194  4117354  6225604   8743824   6646658  3109661  2997878  6276782  6775764
           65536    2048  1315962  4312702  6258204  6764592  6772259  4189202  6149558    303590   6910159  2936861  2909321  6378150  6917463
           65536    4096  2090186  4420978  6475973  7039342  7048367  4348177  6232097    426194   9638816  2878278  2792430  6343120  6869576
           65536    8192  1321930  3910024  5809430  6311225  6196693  4023576  5691312   1328549   7830876  2696181  2632607  5801706  6002512
           65536   16384  1980533  3877866  4200212  4339322  4287009  3862988  4133203    817085   4137371  2815598  2784255  3896280  4328322
          131072      64  1324333  3184612  5633101  5859511  5054444  3045978  5487855   6275908   5286225  2779888  2739399  5555737  5791975
          131072     128  1399237  3321129  5641367  5899629  5601647  3556130  5610737   7462531   5707964  2955393  2857970  5780222  6085623
          131072     256  1509717  3653789  5907109  6142056  6035714  3646857  6006960   8291967   6518729  3205801  3180816  6079970  6307591
          131072     512  1197563  4191464  6197587  6482296  6303902  3880844  6285523   1179531   6541456  3405161  3299482  6400040  6670352
          131072    1024  1268074  4297021  6651709  6887720  6871363  4436920  6448460   9169809   6789555  3151604  3159882  6504230  6821654
          131072    2048  1810063  4415751  6438341  6785282  6733011  4203578  6594816   6678131   6930964  2959466  2876408  6605116  6944973
          131072    4096  1384354  4457173  6383468  6798287  6802577  4226913  6326536    313775   6720582  2744788  2794357  6564812  6919623
          131072    8192  1706914  3954030  6090140  6282793  6432992  4069949  5930815   2298014   8121932  2571742  2520765  5939209  6225167
          131072   16384  1530339  3914223  4182121  4187473  4196167  3925374  4123184   1528624   4270418  2615782  2585287  4237567  4304524
          262144      64  1257647  3227774  5906278  6040582  5030206  2996713  5922025   7113642   5253712  2776125  2781279  5919315  6046062
          262144     128  1216987  3564937  6280239  6411116  5774600  3439081  5760019   7490483   5850526  2960237  2933111  6380201  6559361
          262144     256  1440162  3835543  6179711  6331046  5940518  3623026  6078585   1974971   6010828  3211651  3175083  6112581  6278123
          262144     512  1706497  4164062  6331994  6492892  6278302  3897183  6450382   8555325   6507880  3402524  3383156  6511117  6677636
          262144    1024  1261466  4307117  6664886  6860079  6751940  4232084  6432834   8794418   6561279  3159808  3111838  6540359  6809478
          262144    2048  1362812  4422799  6713393  6975056  6971562  4240097  6736840   3335251   6936290  2953938  2949746  6788122  6966350
          262144    4096  1253263  4466966  6758539  6989555  6981744  4294769  6755590    321933   7525499  2817506  2784914  6699812  6972269
          262144    8192  1276646  4085523  6085785  6244925  6173050  4031815  6049123   3679009   6102911  2497421  2474294  6052019  6221532
          262144   16384  1422769  3958854  4181864  4258078  4276544  3940834  4193171   2050050   4012672  2457499  2494474  4198952  4216714
          524288      64  1190908  3202875  5801899  6030738  4708085  2810728  5499774   6276113   4884234  2768505  2699066  5966417  6048753
          524288     128  1116306  3550357  6417399  6825516  5909735  3456171  6077859   7487902   5441486  3025424  2989099  6303277  6361555
          524288     256  1195410  3930429  6676598  6694688  6238101  3683013  6189570   7689758   6061341  3256303  3226665  6489190  6551716
          524288     512  1643463  4132548  6647756  6858192  6684798  4058580  6785667   8502590   6666680  3385978  3493464  6547697  6468232
          524288    1024  1213366  4300933  7032400  7072751  7000587  4241952  6743777   3545000   6737104  3161197  3244096  6794452  6879863
          524288    2048  1242341  4464878  7166985  7243569  7606660  4250652  6991995   9615368   7217039  2915286  2948931  7157700  7231350
          524288    4096  1621019  4347297  7167195  7267941  7264435  4305025  7117091    361489   6978593  2792375  2742478  6794809  6796657
          524288    8192  1265225  4125617  6065705  6372912  6213056  4031311  6342711   5269282   6152167  2485294  2467109  6113869  6426194
          524288   16384  1342521  3967524  4187604  4097313  3944331  3885915  4283223   2663875   4189415  2434495  2444848  4191084  4019749

iozone test complete.
